# tijd (s), versnelling (m/s^2)
1.342237061769615991e+00,4.312520544585573981e-05
1.352253756260433981e+00,7.865297815480509715e-05
1.362270450751251971e+00,1.434420012966427247e-04
1.372287145242070183e+00,2.615747804300614363e-04
1.382303839732888173e+00,4.769133792253402366e-04
1.392320534223706163e+00,8.692502583287015430e-04
1.402337228714524153e+00,1.583427784092975759e-03
1.412353923205342143e+00,2.881333640735675265e-03
1.422370617696160355e+00,5.233081140591233638e-03
1.432387312186978345e+00,9.471505700223861388e-03
1.442404006677796335e+00,1.703672097661291379e-02
1.452420701168614325e+00,3.030990591175242513e-02
1.462437395659432315e+00,5.291044879849950144e-02
1.472454090150250305e+00,8.949836504362419787e-02
1.482470784641068517e+00,1.441491913355481269e-01
1.492487479131886507e+00,2.166966289093119613e-01
1.502504173622704498e+00,2.992756003153091982e-01
1.512520868113522488e+00,3.783185737043144869e-01
1.522537562604340478e+00,4.423764003854898097e-01
1.532554257095158468e+00,4.876460965790062607e-01
1.542570951585976680e+00,5.166318856424704231e-01
1.552587646076794670e+00,5.340354727833296344e-01
1.562604340567612660e+00,5.440842215515325764e-01
1.572621035058430650e+00,5.497557478858368096e-01
1.582637729549248640e+00,5.529157039022821740e-01
1.592654424040066852e+00,5.546636549240306913e-01
1.602671118530884842e+00,5.556266891550650788e-01
1.612687813021702832e+00,5.561561050980295962e-01
1.622704507512520822e+00,5.564467922598010929e-01
1.632721202003338812e+00,5.566062940445209994e-01
1.642737896494156802e+00,5.566937816570766140e-01
1.652754590984975014e+00,5.567417594804437986e-01
1.662771285475793004e+00,5.567680674167297949e-01
1.672787979966610994e+00,5.567824921185912102e-01
1.682804674457428984e+00,5.567904009543627186e-01
1.692821368948246974e+00,5.567947371652935962e-01
1.702838063439065186e+00,5.567971145744324835e-01
1.712854757929883176e+00,5.567984180265747041e-01
1.722871452420701166e+00,5.567991326626824389e-01
1.732888146911519156e+00,5.567995244714137870e-01
1.742904841402337146e+00,5.567997392855584815e-01
1.752921535893155136e+00,5.567998570601008224e-01
1.762938230383973348e+00,5.567999216314496458e-01
1.772954924874791338e+00,5.567999570334847270e-01
1.782971619365609328e+00,5.567999764430836551e-01
1.792988313856427318e+00,5.567999870846332966e-01
1.803005008347245308e+00,5.567999929189928476e-01
1.813021702838063520e+00,5.567999961177514390e-01
1.823038397328881510e+00,5.567999978715099108e-01
1.833055091819699500e+00,5.567999988330293304e-01
1.843071786310517490e+00,5.567999993601940867e-01
1.853088480801335480e+00,5.567999996492185577e-01
1.863105175292153470e+00,5.567999998076798018e-01
1.873121869782971682e+00,5.567999998945580842e-01
1.883138564273789672e+00,5.567999999421902046e-01
1.893155258764607662e+00,5.567999999683050927e-01
1.903171953255425652e+00,5.567999999826228619e-01
1.913188647746243642e+00,5.567999999904726938e-01
1.923205342237061632e+00,5.567999999947765843e-01
1.933222036727879845e+00,5.567999999971361413e-01
1.943238731218697835e+00,5.567999999984297732e-01
1.953255425709515825e+00,5.567999999991390947e-01
1.963272120200333815e+00,5.567999999995280058e-01
1.973288814691151805e+00,5.567999999997411686e-01
1.983305509181970017e+00,5.567999999998580751e-01
1.993322203672788007e+00,5.567999999999222460e-01
2.003338898163605997e+00,5.567999999999573291e-01
2.013355592654423987e+00,5.567999999999766469e-01
2.023372287145241977e+00,5.567999999999870830e-01
2.033388981636059967e+00,5.567999999999929672e-01
2.043405676126877957e+00,5.567999999999960759e-01
2.053422370617695947e+00,5.567999999999978522e-01
2.063439065108514381e+00,5.567999999999988514e-01
2.073455759599332371e+00,5.567999999999992955e-01
2.083472454090150361e+00,5.567999999999996286e-01
2.093489148580968351e+00,5.567999999999997396e-01
2.103505843071786341e+00,5.567999999999998506e-01
2.113522537562604331e+00,5.567999999999998506e-01
2.123539232053422321e+00,5.567999999999999616e-01
2.133555926544240311e+00,5.567999999999999616e-01
2.143572621035058301e+00,5.567999999999999616e-01
2.153589315525876291e+00,5.567999999999999616e-01
2.163606010016694281e+00,5.567999999999999616e-01
2.173622704507512271e+00,5.567999999999999616e-01
2.183639398998330705e+00,5.567999999999999616e-01
2.193656093489148695e+00,5.567999999999999616e-01
2.203672787979966685e+00,5.567999999999999616e-01
2.213689482470784675e+00,5.567999999999999616e-01
2.223706176961602665e+00,5.567999999999999616e-01
2.233722871452420655e+00,5.567999999999999616e-01
2.243739565943238645e+00,5.567999999999999616e-01
2.253756260434056635e+00,5.567999999999999616e-01
2.263772954924874625e+00,5.567999999999999616e-01
2.273789649415692615e+00,5.567999999999999616e-01
2.283806343906510605e+00,5.567999999999999616e-01
2.293823038397329039e+00,5.567999999999999616e-01
2.303839732888147029e+00,5.567999999999999616e-01
2.313856427378965019e+00,5.567999999999999616e-01
2.323873121869783009e+00,5.567999999999999616e-01
2.333889816360600999e+00,5.567999999999999616e-01
2.343906510851418989e+00,5.567999999999999616e-01
2.353923205342236979e+00,5.567999999999999616e-01
2.363939899833054969e+00,5.567999999999999616e-01
2.373956594323872960e+00,5.567999999999999616e-01
2.383973288814690950e+00,5.567999999999999616e-01
2.393989983305508940e+00,5.567999999999999616e-01
2.404006677796327374e+00,5.567999999999999616e-01
2.414023372287145364e+00,5.567999999999999616e-01
2.424040066777963354e+00,5.567999999999999616e-01
2.434056761268781344e+00,5.567999999999999616e-01
2.444073455759599334e+00,5.567999999999999616e-01
2.454090150250417324e+00,5.567999999999999616e-01
2.464106844741235314e+00,5.567999999999999616e-01
2.474123539232053304e+00,5.567999999999999616e-01
2.484140233722871294e+00,5.567999999999999616e-01
2.494156928213689284e+00,5.567999999999999616e-01
2.504173622704507274e+00,5.567999999999999616e-01
2.514190317195325708e+00,5.567999999999999616e-01
2.524207011686143698e+00,5.567999999999999616e-01
2.534223706176961688e+00,5.567999999999999616e-01
2.544240400667779678e+00,5.567999999999999616e-01
2.554257095158597668e+00,5.567999999999999616e-01
2.564273789649415658e+00,5.567999999999999616e-01
2.574290484140233648e+00,5.567999999999999616e-01
2.584307178631051638e+00,5.567999999999999616e-01
2.594323873121869628e+00,5.567999999999999616e-01
2.604340567612687618e+00,5.567999999999999616e-01
2.614357262103505608e+00,5.567999999999999616e-01
2.624373956594324042e+00,5.567999999999999616e-01
2.634390651085142032e+00,5.567999999999999616e-01
2.644407345575960022e+00,5.567999999999999616e-01
2.654424040066778012e+00,5.567999999999999616e-01
2.664440734557596002e+00,5.567999999999999616e-01
